Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
1013.828,9.36e-05,1.35e-09,450,450
1015.297,9.36e-05,2.22e-09,450,450
1016.785,9.36e-05,3.81e-09,450,450
1018.554,9.36e-05,3.41e-09,450,450
1020.064,9.36e-05,3.3e-09,450,450
1021.555,9.36e-05,1.9e-09,450,450
1023.109,9.36e-05,4.05e-09,450,450
1024.652,9.37e-05,5.58e-09,450,450
1026.205,9.37e-05,5.36e-09,450,450
1027.748,9.37e-05,2.94e-09,450,450
1029.175,9.37e-05,7.89e-10,450,450
1030.703,9.37e-05,2.21e-09,450,450
1032.266,9.37e-05,4.69e-09,450,450
1033.817,9.37e-05,4.36e-09,450,450
1035.512,9.37e-05,5.25e-09,450,450
1037.115,9.37e-05,7.07e-10,450,450
1038.681,9.37e-05,4.03e-09,450,450
1040.17,9.37e-05,2.25e-09,450,450
1041.897,9.38e-05,4.24e-09,450,450
1043.392,9.38e-05,2.01e-09,450,450
1044.824,9.38e-05,2.62e-09,450,450
1046.45,9.38e-05,5.27e-10,450,450
1047.955,9.38e-05,3.23e-09,450,450
1049.494,9.38e-05,4.27e-09,450,450
1050.969,9.38e-05,2.15e-09,450,450
1052.532,9.38e-05,3.13e-09,450,450
1054.071,9.38e-05,2.95e-09,450,450
1055.743,9.38e-05,3.41e-09,450,450
1057.216,9.39e-05,3.52e-09,450,450
1058.845,9.39e-05,1.7e-09,450,450
1060.302,9.39e-05,3.83e-09,450,450
1061.791,9.39e-05,2.04e-09,450,450
1063.396,9.39e-05,3.28e-09,450,450
1064.979,9.39e-05,2.42e-09,450,450
1066.58,9.39e-05,4.71e-09,450,450
1068.037,9.39e-05,1.78e-09,450,450
1069.534,9.39e-05,6.99e-10,450,450
1070.969,9.39e-05,4.06e-09,450,450
1072.539,9.39e-05,2.02e-09,450,450
1074.096,9.4e-05,1.94e-09,450,450
1075.615,9.4e-05,4.38e-09,450,450
1077.126,9.4e-05,4.5e-09,450,450
1078.666,9.4e-05,1.34e-09,450,450
1080.168,9.4e-05,2.33e-09,450,450
1081.67,9.4e-05,9.72e-10,450,450
1083.155,9.4e-05,3.74e-09,450,450
1084.663,9.4e-05,2.27e-09,450,450
1086.095,9.4e-05,1.34e-09,450,450
1087.66,9.4e-05,3.28e-09,450,450
1089.177,9.4e-05,3.65e-09,450,450
1090.685,9.41e-05,4.28e-09,450,450
1092.215,9.41e-05,6.93e-09,450,450
1093.796,9.41e-05,1.1e-09,450,450
1095.275,9.41e-05,1.71e-09,450,450
1096.754,9.41e-05,5.35e-09,450,450
1098.39,9.41e-05,5.68e-10,450,450
1099.916,9.41e-05,1.2e-09,450,450
