Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K)
6112.48,0.0001609813,1.136799e-07,440.0,440.0
6129.15,0.0001609427,1.431301e-07,440.0,440.0
6146.03,0.0001607168,1.893146e-08,440.0,440.0
6162.99,0.0001607116,4.309731e-08,440.0,440.0
6179.84,0.0001605464,5.030176e-08,439.99,440.0
6196.98,0.0001606272,1.268245e-08,439.99,440.0
6214.19,0.0001605529,3.445915e-08,440.01,440.0
6231.1,0.0001605654,2.769356e-08,440.01,440.0
6247.97,0.0001606131,1.495512e-08,440.0,440.0
6265.06,0.0001605556,3.345378e-08,440.01,440.0
6282.06,0.0001604757,2.312791e-08,440.0,440.0
6299.28,0.0001604821,2.511507e-08,439.99,440.0
6316.3,0.0001605689,5.008981e-08,440.0,440.0
6333.38,0.0001604565,4.474185e-08,440.0,440.0
6350.35,0.0001603657,3.536178e-08,440.0,440.0
6367.14,0.0001603474,4.25002e-08,440.0,440.0
6383.63,0.0001604913,3.029136e-08,440.01,440.0
6400.82,0.0001604372,1.523738e-08,440.0,440.0
6417.92,0.0001604049,4.777366e-08,440.0,440.0
6434.94,0.0001603329,3.603841e-08,440.0,440.0
6452.07,0.0001603656,2.009533e-08,440.01,440.0
6469.04,0.0001603246,6.704758e-08,440.0,440.0
6486.14,0.0001603892,2.71326e-08,440.0,440.0
6503.14,0.0001603199,4.185278e-08,440.01,440.0
6520.02,0.0001602924,2.422671e-08,440.01,440.0
6536.88,0.0001602767,2.745117e-08,439.98,440.0
6553.77,0.0001602957,8.934459e-08,440.0,440.0
6570.89,0.0001603647,1.904993e-08,440.01,440.0
6587.71,0.0001603752,2.02199e-08,439.99,440.0
6604.69,0.0001604402,2.584484e-08,440.0,440.0
6622.04,0.0001604811,2.567511e-08,440.0,440.0
6639.12,0.0001605095,2.956443e-08,440.0,440.0
6656.01,0.000160443,3.366502e-08,440.01,440.0
6673.12,0.0001604151,1.981273e-08,439.99,440.0
6690.16,0.0001604565,4.435275e-08,440.0,440.0
6707.03,0.0001604704,1.552203e-08,440.01,440.0
6723.96,0.0001604753,4.775179e-08,439.99,440.0
6741.23,0.0001606355,1.600174e-08,440.01,440.0
6758.45,0.0001606425,3.135194e-08,440.0,440.0
6775.08,0.0001607245,1.300641e-08,440.0,440.0
6791.7,0.0001607818,2.228502e-08,440.0,440.0
6808.32,0.0001608696,2.359002e-08,440.01,440.0
6825.21,0.0001608538,3.688059e-08,440.0,440.0
6842.22,0.0001607237,2.796843e-08,439.99,440.0
6858.92,0.0001607379,1.841768e-08,440.01,440.0
6875.72,0.000160726,2.01825e-08,440.01,440.0
6892.77,0.0001608244,1.525693e-07,439.99,440.0
6909.9,0.0001614563,2.348721e-07,440.0,440.0
6926.77,0.0001615057,1.406438e-07,440.01,440.0
6944.22,0.0001617503,7.499341e-08,440.0,440.0
6961.19,0.0001618772,1.559443e-07,439.99,440.0
6978.22,0.0001615398,3.892359e-07,440.01,440.0
6994.92,0.0001608948,2.012627e-08,440.0,440.0
7011.98,0.0001608059,2.977863e-08,440.0,440.0
7028.95,0.0001608005,1.881046e-08,440.0,440.0
7045.82,0.0001607691,3.680414e-08,440.0,440.0
7062.61,0.0001607738,1.287375e-08,440.0,440.0
7079.28,0.0001607037,6.548969e-08,440.01,440.0
7096.07,0.0001607304,6.324239e-08,440.0,440.0
7113.14,0.0001607452,3.046966e-08,439.99,440.0
7130.39,0.0001607961,1.204113e-08,440.0,440.0
7147.24,0.0001608202,9.138441e-09,440.01,440.0
7163.91,0.0001608257,1.865506e-08,439.99,440.0
