Time_(s),Current_(A),Current_Std_Dev_(A),Control_Temperature_(K),Sample_Temperature_(K),Unnamed: 5,Unnamed: 6,Conductivity_(S/cm),Delta_T
4081.768,0.0001245308,9.89725e-09,430.0,430.0,,,0.001245308,0.5962772454368728
7741.723,0.0001257706,2.036991e-08,430.0,430.0,,,0.001257706,0.4896351218840863
8369.043,0.0001258109,1.9919e-08,430.0,430.0,,,0.0012581089999999,0.48616869376817184
5289.035,0.0001250997,1.610417e-08,430.01,430.01,,,0.001250997,0.5473429785477132
3004.81,0.0001239909,6.838616e-09,430.0,430.0,,,0.001239909,0.6427170603313326
9772.588,0.0001261361,1.530759e-08,429.99,429.99,,,0.001261361,0.45819642519224596
3663.637,0.0001243951,1.239579e-08,430.01,430.01,,,0.001243951,0.6079495604603551
9365.578,0.0001260922,1.455869e-08,430.01,430.01,,,0.001260922,0.4619725094187066
3791.846,0.0001244589,9.146341e-09,430.01,430.01,,,0.001244589,0.6024617660720132
5634.695,0.0001252154,7.604092e-09,430.0,430.0,,,0.001252154,0.5373909752447156
4993.625,0.0001249171,7.309811e-09,430.0,430.0,,,0.001249171,0.563049424555729
2532.679,0.0001237446,1.526943e-08,430.0,430.0,,,0.001237446,0.6639026991690907
6419.314,0.0001254034,1.409649e-08,430.0,430.0,,,0.001254034,0.5212200450721673
4027.561,0.0001245372,7.177124e-09,430.0,430.0,,,0.0012453719999999,0.5957267456871784
5543.701,0.0001251772,1.028267e-08,430.01,430.01,,,0.001251772,0.5406767706308391
5174.312,0.0001250672,5.846176e-09,430.0,430.0,,,0.001250672,0.5501384850934995
2366.488,0.0001236904,1.096662e-08,430.01,430.01,,,0.001236904,0.6685647439316005
8313.864,0.0001258003,9.080504e-09,429.99,429.99,,,0.001258003,0.48708045897916785
5872.099,0.0001252911,4.557046e-09,430.0,430.0,,,0.001252911,0.5308795953826837
5361.119,0.0001251306,1.04158e-08,430.01,430.01,,,0.001251306,0.5446850969395659
3187.612,0.0001240856,9.686187e-09,430.01,430.01,,,0.001240856,0.6345713843348416
6072.749,0.0001253477,2.142714e-08,430.01,430.01,,,0.001253477,0.5260111132137145
6382.532,0.0001253734,9.489175e-09,430.01,430.01,,,0.0012537339999999,0.5238005126537524
9088.868,0.0001260539,6.607235e-09,430.0,430.0,,,0.001260539,0.4652669063634336
7356.527,0.0001255379,1.78727e-08,430.0,430.0,,,0.001255379,0.5096509487519137
7429.482,0.0001255573,3.476924e-08,430.0,430.0,,,0.001255573,0.5079822463830443
5470.565,0.0001251763,5.47824e-09,430.0,430.0,,,0.001251763,0.5407541846582611
5065.404,0.0001249706,5.669058e-08,430.0,430.0,,,0.001249706,0.5584475907034362
7870.608,0.0001258041,6.136412e-09,430.0,430.0,,,0.001258041,0.4867535997522745
8442.818,0.0001258783,2.079022e-08,429.99,429.99,,,0.0012587829999999,0.4803712432701417
1671.995,0.0001230767,6.236986e-09,430.01,430.01,,,0.001230767,0.7213525090746447
4589.989,0.0001247772,4.713762e-08,430.0,430.0,,,0.001247772,0.575083005040513
3553.745,0.0001243474,5.853774e-09,430.01,430.01,,,0.001243474,0.612052503913709
7539.781,0.0001256241,5.665686e-09,430.0,430.0,,,0.001256241,0.5022364052366296
8555.258,0.000125875,5.270463e-09,430.0,430.0,,,0.00125875,0.48065509470315965
6128.268,0.0001254499,1.600312e-08,430.01,430.01,,,0.001254499,0.5172203203220421
6146.521,0.000125441,7.688375e-09,430.0,430.0,,,0.00125441,0.5179858590376574
2091.828,0.0001234937,4.967673e-09,430.01,430.01,,,0.001234937,0.6854840097025587
3041.03,0.0001239993,6.634087e-09,430.0,430.0,,,0.001239993,0.6419945294087293
6256.117,0.0001253955,1.062753e-08,430.0,430.0,,,0.001253955,0.5218995682017589
8499.068,0.0001259131,7.549099e-09,430.0,430.0,,,0.001259131,0.47737790087563964
1122.777,0.0001223357,7.528465e-09,430.0,430.0,,,0.001223357,0.7850900583185677
7466.202,0.0001256076,8.126773e-09,430.01,430.01,,,0.001256076,0.5036556624060277
8758.408,0.0001259014,9.24001e-09,430.01,430.01,,,0.001259014,0.4783842832321226
7081.015,0.0001255363,7.273239e-09,430.0,430.0,,,0.001255363,0.5097885736895528
3900.27,0.0001244945,1.110806e-08,430.0,430.0,,,0.001244945,0.5993996112095523
3755.111,0.0001243908,2.654891e-08,429.99,429.99,,,0.001243908,0.6083194274802602
4243.415,0.0001246202,9.693067e-09,430.01,430.01,,,0.001246202,0.5885874520463105
8073.198,0.0001258084,7.834397e-09,430.0,430.0,,,0.001258084,0.4863837327323712
4371.193,0.0001247484,6.449806e-09,430.0,430.0,,,0.0012474839999999,0.5775602539188712
6091.164,0.0001253463,1.718559e-08,429.99,429.99,,,0.001253463,0.5261315350341483
1195.419,0.0001225112,2.343217e-08,430.0,430.0,,,0.001225112,0.769994322971323
7833.442,0.0001257458,5.82714e-09,430.0,430.0,,,0.001257458,0.4917683084174862
2897.283,0.0001239407,3.743142e-09,430.0,430.0,,,0.001239407,0.6470350427497458
2495.55,0.0001237411,8.646772e-09,430.01,430.01,,,0.001237411,0.6642037537201754
1707.917,0.0001231278,1.084025e-08,430.01,430.01,,,0.001231278,0.7169571126288093
8480.328,0.0001258948,6.762642e-09,430.0,430.0,,,0.001258948,0.4789519860998819
4063.674,0.0001245349,1.21605e-08,430.0,430.0,,,0.001245349,0.5959245815341745
9439.098,0.0001261034,2.270585e-09,429.99,429.99,,,0.0012610339999999,0.4610091348560953
6328.057,0.000125406,1.072898e-08,430.0,430.0,,,0.00125406,0.5209964045485047
7723.32,0.0001256931,1.519101e-08,429.99,429.99,,,0.001256931,0.4963013298009604
4627.066,0.0001247943,1.392081e-08,430.0,430.0,,,0.001247943,0.5736121385194997
7484.608,0.0001255948,7.330302e-09,430.0,430.0,,,0.001255948,0.5047566619071379
5579.875,0.0001252068,9.750214e-09,430.0,430.0,,,0.0012520679999999,0.538130709285382
